Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32051411216,"LAUNDERETTE CAFI, LLC",3401 HOLLYWOOD AVE,AUSTIN,TX,78722,227,1,LAUNDERETTE CAFE' LLC,2115 HOLLY ST,AUSTIN,TX,78702,227,Y,MB895521,01/16/2015,,03/31/2019,53574,58008,6759,0,118341
32044481524,COVER 2 RESEARCH LLC,13701 N HIGHWAY 183,AUSTIN,TX,78750,246,1,COVER 2,13701 N HIGHWAY 183,AUSTIN,TX,78750,246,Y,MB792603,12/14/2011,,03/31/2019,36013,12261,31983,0,80257
32062206704,"RAINEY GASTRO PUB, LLC",14450 EAGLE RUN DR STE 100,OMAHA,NE,68116,0,1,ANTHEM,91 RAINEY ST APT 120,AUSTIN,TX,78701,227,Y,MB1030324,09/14/2018,,03/31/2019,57271,8113,17788,0,83172
32049332334,"RRA BEVERAGE COMPANY, LLC",66 PALMER AVE STE 320,BRONXVILLE,NY,10708,0,2,HIDEAWAY KITCHEN AND BAR,4323 S INTERSTATE 35,AUSTIN,TX,78744,227,Y,MB994614,09/18/2017,,03/31/2019,14527,6546,8356,0,29429
32063824430,"ROBINSON STOCKWELL INVESTMENTS, LLC",3006 BEE CAVES RD STE C250 ATTN: KEVIN S,AUSTIN,TX,78746,227,1,BURGERIM,51 RAINEY ST APT 140A,AUSTIN,TX,78701,227,Y,MB1044875,02/12/2019,,03/31/2019,0,0,0,0,0
32066062996,"AUSTIN CRAFT SPIRITS COMPANY, LLC",3012 SPARKLING BROOK LN,AUSTIN,TX,78746,227,1,"AUSTIN CRAFT SPIRITS COMPANY, LLC",12010 W HIGHWAY 290 STE 160,AUSTIN,TX,78737,105,N,D 1036903,11/09/2018,,03/31/2019,0,0,0,0,0
17426818724,"DRAKER ENTERPRISES, INC.",800 S LAMAR BLVD,AUSTIN,TX,78704,227,2,MAUDIES CAFE TOO,1212 S LAMAR BLVD,AUSTIN,TX,78704,227,Y,MB408287,03/07/1997,,03/31/2019,51360,1602,5595,823,59380
17426242909,"THE ORIGINAL HOFFBRAU, INC.",613 W 6TH ST,AUSTIN,TX,78701,227,1,THE ORIGINAL HOFFBRAU INC DBA THE HOFFBRAU,613 W 6TH ST,AUSTIN,TX,78701,227,Y,MB899682,03/04/2015,,03/31/2019,217109,2760,178301,0,398170
16114310952,"MAUDIE'S AT SHADY HOLLOW, L.P.",800 S LAMAR BLVD,AUSTIN,TX,78704,227,1,MAUDIE'S HACIENDA,9911 BRODIE LN STE 900,AUSTIN,TX,78748,227,Y,MB540123,07/18/2003,,03/31/2019,80460,4306,10921,0,95687
32049133195,"AUSTIN WATER TANK, LLC.",8801 WILLOWICK DR,AUSTIN,TX,78759,227,1,THE WATER TANK BAR & GRILL,7309 MCNEIL DR,AUSTIN,TX,78729,246,Y,MB825613,11/28/2012,,03/31/2019,43473,1079,27145,0,71697
32061963131,PARMER MCCALLEN LLC,PO BOX 90549,AUSTIN,TX,78709,227,1,CARINOS ITALIAN,12901 N INTERSTATE 35 STE 16,AUSTIN,TX,78753,227,Y,MB980547,05/02/2017,,03/31/2019,5841,4155,2652,0,12648
32062349785,AUSTIN TAFT35 LLC,6705 W HIGHWAY 290 # 50296,AUSTIN,TX,78735,227,1,JOHNNY CARINOS,9500 S INTERSTATE 35,AUSTIN,TX,78748,227,Y,MB984819,06/08/2017,,03/31/2019,7650,6402,3470,0,17522
32054747590,"LDWB #2, LLC",713 N MAIN ST,FORT WORTH,TX,76164,220,1,LONESOME DOVE WESTERN BISTRO,419 COLORADO ST,AUSTIN,TX,78701,227,Y,MB895297,01/14/2015,,03/31/2019,48721,67930,3715,0,120366
32056623583,"CAFI BLUE III, LLC",105 TIMPANAGOS DR,LAKEWAY,TX,78734,227,1,CAFE BLUE,340 E 2ND ST,AUSTIN,TX,78701,227,Y,MB961556,10/20/2016,,03/31/2019,47174,33463,23417,0,104054
32065046339,DIP DIP DIP TATSU-YA LLC,1907 W 38TH ST # A,AUSTIN,TX,78731,227,1,DIP DIP DIP TATSU-YA,7301 BURNET RD,AUSTIN,TX,78757,227,Y,MB1023015,07/16/2018,,03/31/2019,0,0,0,0,0
32060954974,"TOBALA, LLC",1411 E 7TH ST,AUSTIN,TX,78702,227,1,EL TACORRIDO,1701 E RIVERSIDE DR,AUSTIN,TX,78741,227,Y,MB1026647,08/14/2018,,03/31/2019,0,0,0,0,0
17426089045,"SHAKESPEARE'S PUB, INC.",314 E 6TH ST,AUSTIN,TX,78701,227,1,SHAKESPEARE'S,314 E 6TH ST,AUSTIN,TX,78701,227,Y,MB408067,03/06/1997,,03/31/2019,203332,156,66065,0,269553
17430224208,"MAUDIE'S MILAGRO, L.P.",800 S LAMAR BLVD,AUSTIN,TX,78704,227,1,MAUDIES MILAGRO,3801 N CAPITAL OF TEXAS HWY STE H200,AUSTIN,TX,78746,227,Y,MB510395,02/28/2002,,03/31/2019,74410,4486,10545,0,89441
17425710872,"MAMMOTH MASTODON, INC.",315 CONGRESS AVE,AUSTIN,TX,78701,227,1,ELEPHANT ROOM,315 CONGRESS AVE # 10,AUSTIN,TX,78701,227,Y,MB220112,12/01/1993,,03/31/2019,55673,5506,27417,0,88596
32044564477,"GR VENTURES, INC.",4140 LEMMON AVE,DALLAS,TX,75219,57,1,GLORIA'S RESTAURANT,300 W 6TH ST STE 100,AUSTIN,TX,78701,227,Y,MB802997,04/05/2012,,03/31/2019,100595,6468,7785,0,114848
17423737596,"GREAT HILLS GOLF CLUB OF AUSTIN, INC.",5914 LOST HORIZON DR,AUSTIN,TX,78759,227,1,GREAT HILLS COUNTRY CLUB,5914 LOST HORIZON DR,AUSTIN,TX,78759,227,Y,MB175688,12/01/1993,,03/31/2019,11315,8185,8935,0,28435
17419994086,"DONNAR, INC.",1600 W 5TH ST,AUSTIN,TX,78703,227,1,DONN'S DEPOT,1600 W 5TH ST,AUSTIN,TX,78703,227,Y,MB111449,12/01/1993,,03/31/2019,29539,3395,19657,0,52591
32038950104,"GLORIA'S DOMAIN, INC.",8600 GAYLORD PKWY STE 5,FRISCO,TX,75034,43,1,GLORIA'S RESTAURANT,3309 ESPERANZA XING STE 100,AUSTIN,TX,78758,227,Y,MB739005,12/21/2009,,03/31/2019,180787,12034,20386,0,213207
32055645223,HARD LUCK LOUNGE LLC,3526 E 7TH ST,AUSTIN,TX,78702,227,1,HARD LUCK LOUNGE,3526 E 7TH ST,AUSTIN,TX,78702,227,Y,MB917469,08/14/2015,,03/31/2019,22596,162,20450,0,43208
17429735149,"MAUDIE'S TO THE THIRD POWER, L.P.",800 S LAMAR BLVD,AUSTIN,TX,78704,227,2,MAUDIE'S ORIGINAL,2608 W 7TH ST,AUSTIN,TX,78703,227,Y,MB488358,02/01/2011,,03/31/2019,65453,3959,5636,0,75048
32060491688,"TAVERNA DOMAIN AUSTIN, LP",3100 MONTICELLO AVE STE 325,DALLAS,TX,75205,57,1,TAVERNA,3120 PALM WAY STE 160,AUSTIN,TX,78758,227,Y,MB956416,09/01/2016,,03/31/2019,20687,40035,5146,0,65868
32049679809,STINSON'S BISTRO ROSEDALE LLC,3112 WINDSOR RD STE A-365,AUSTIN,TX,78703,227,1,STINSON'S BISTRO,4416 BURNET RD,AUSTIN,TX,78756,227,Y,MB833653,03/05/2013,,03/31/2019,1990,1019,1835,0,4844
12003948507,"SIDEBAR, INC.",602 E 7TH ST,AUSTIN,TX,78701,227,1,THE SIDE BAR,602 E 7TH ST,AUSTIN,TX,78701,227,Y,MB553937,03/18/2004,,03/31/2019,62569,104,39266,0,101939
32064130001,"TEXAS HILLS AGAVE, LLC",7858 SHOAL CREEK BLVD STE B,AUSTIN,TX,78757,227,1,DISTRICT KITCHEN + COCKTAILS,7858 SHOAL CREEK BLVD STE B,AUSTIN,TX,78757,227,Y,MB1047270,03/14/2019,,03/31/2019,0,0,0,0,0
32067137185,"MOONSHINE AVERY, LLC",700 KNOLLWOOD DR,AUSTIN,TX,78746,227,1,MOONSHINE,10525 W PARMER LN,AUSTIN,TX,78717,246,Y,MB1035400,10/26/2018,,03/31/2019,93270,37522,20448,0,151240
32060491704,"TOULOUSE DOMAIN AUSTIN, LP",3100 MONTICELLO AVE STE 325,DALLAS,TX,75205,57,1,TOULOUSE,3120 PALM WAY STE 150,AUSTIN,TX,78758,227,Y,MB957588,09/13/2016,,03/31/2019,26307,35583,1902,0,63792
32057315874,CHARM KOREAN BBQ LIMITED LIABILITY COMPANY,1200 W HOWARD LN STE B,AUSTIN,TX,78753,227,1,CHARM KOREAN BBQ,1200 W HOWARD LN STE B,AUSTIN,TX,78753,227,Y,MB927437,11/19/2015,,03/31/2019,12915,0,1859,0,14774
32040467824,VCC BEVERAGE COMPANY LLC,1614 W 5TH ST,AUSTIN,TX,78703,227,1,VIOLET CROWN CINEMA,434 W 2ND ST,AUSTIN,TX,78701,227,Y,MB751985,07/07/2010,,03/31/2019,16368,15170,9111,0,40649
17426162909,"CABANA BEVERAGES, INC.",8111 MAINLAND DR STE 104,SAN ANTONIO,TX,78240,15,210,"CABANA BEVERAGES, INC.",5242 N LAMAR BLVD,AUSTIN,TX,78751,227,Y,MB848989,08/15/2013,,03/31/2019,1519,0,520,0,2039
32050360265,SPLIT LEVEL LLC,807 BRAZOS ST STE 311,AUSTIN,TX,78701,227,1,SAN JAC SALOON,300 E 6TH ST,AUSTIN,TX,78701,227,Y,MB837276,04/11/2013,,03/31/2019,91286,7629,54602,0,153517
17419968528,"UNIVERSITY FOOD SERVICES, INC.",2400 YORKMONT RD ATTN: BECKY ANDERSON/TA,CHARLOTTE,NC,28217,0,29,EXECUTIVE EDUCATION AND CONFERENCE CENTER,1900 UNIVERSITY AVE,AUSTIN,TX,78705,227,Y,MB690654,04/18/2008,,03/31/2019,29060,39061,25630,6726,100477
17428909406,"SPOHN & ASSOCIATES, INC.",8940 RESEARCH BLVD STE 300,AUSTIN,TX,78758,227,6,PINBALLZ,13729 N HIGHWAY 183 STE 200,AUSTIN,TX,78750,246,Y,MB941152,04/14/2016,,03/31/2019,66494,3644,65859,0,135997
32041653489,"ESTANCIA ARBORETUM, LLC",10000 RESEARCH BLVD STE B,AUSTIN,TX,78759,227,1,"ESTANCIA ARBORETUM, LLC",10000 RESEARCH BLVD STE B,AUSTIN,TX,78759,227,Y,MB779795,07/14/2011,,03/31/2019,39261,35734,2644,0,77639
32059863210,PLUCKERS-LINC LLC,811 BARTON SPRINGS RD STE 600,AUSTIN,TX,78704,227,1,PLUCKERS-LINC LLC,6406 N INTERSTATE 35 STE 2949,AUSTIN,TX,78752,227,Y,MB981253,05/08/2017,,03/31/2019,33700,465,55817,0,89982
12034459276,409-413 EAST SIXTH STREET BEVERAGE COMPANY LLC,PO BOX 685084,AUSTIN,TX,78768,227,1,TOULOUSE,409 E 6TH ST,AUSTIN,TX,78701,227,Y,MB649052,01/12/2007,03/28/2019,03/31/2019,187656,5085,27405,0,220146
32059611742,"TACALA AUSTIN, LLC",3750 CORPORATE WOODS DR,VESTAVIA,AL,35242,0,1,TACO BELL CANTINA,2000 GUADALUPE ST,AUSTIN,TX,78705,227,Y,MB953183,08/02/2016,,03/31/2019,0,0,0,0,0
32060043232,"NATIVE HOSTEL AUSTIN, LLC",807 E 4TH ST,AUSTIN,TX,78702,227,1,NATIVE HOSTEL AUSTIN,807 E 4TH ST,AUSTIN,TX,78702,227,Y,MB978837,04/13/2017,,03/31/2019,130225,13901,34146,0,178272
32004535715,HOOVER ALEXANDER,2002 MANOR RD STE C,AUSTIN,TX,78722,227,2,HOOVER'S COOKING,2002C MANOR RD,AUSTIN,TX,78722,227,Y,MB441261,10/26/1998,,03/31/2019,9840,918,4227,0,14985
