CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"095905106","HILLCREST EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","PK","PK - 05","E"
"095905108","LA MESA EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","EE","EE - 05","E"
"095905109","THUNDERBIRD EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","PK","PK - 05","E"
"096904001","MEMPHIS H S"," ","N","N","N","N","N","N","N","N","M"," ","MEMPHIS ISD","096904","12","09","09 - 12","S"
"096904041","MEMPHIS MIDDLE"," ","N","N","N","N","N","N","N","N","I"," ","MEMPHIS ISD","096904","08","06","06 - 08","M"
"096904101","AUSTIN EL"," ","N","N","N","N","N","N","N","N","M"," ","MEMPHIS ISD","096904","05","03","03 - 05","E"
"096904103","TRAVIS EL"," ","N","N","N","N","N","N","N","N","M"," ","MEMPHIS ISD","096904","02","EE","EE - 02","E"
"096905001","VALLEY SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","TURKEY-QUITAQUE ISD","096905","12","EE","EE - 12","B"
"097902001","HAMILTON H S"," ","N","N","N","N","N","N","N","N","M"," ","HAMILTON ISD","097902","12","09","09 - 12","S"
"097902041","HAMILTON J H"," ","N","N","N","N","N","N","N","N","M"," ","HAMILTON ISD","097902","08","06","06 - 08","M"
"097902102","ANN WHITNEY EL"," ","N","N","N","N","N","N","N","N","M"," ","HAMILTON ISD","097902","05","PK","PK - 05","E"
"097903001","HICO H S"," ","N","N","N","N","N","N","N","N","M"," ","HICO ISD","097903","12","06","06 - 12","B"
"097903101","HICO EL"," ","N","N","N","N","N","N","N","N","M"," ","HICO ISD","097903","05","PK","PK - 05","E"
"098901001","GRUVER H S"," ","N","N","N","N","N","N","N","N","M"," ","GRUVER ISD","098901","12","09","09 - 12","S"
"098901041","GRUVER J H"," ","N","N","N","N","N","N","N","N","M"," ","GRUVER ISD","098901","08","05","05 - 08","M"
"098901101","GRUVER EL"," ","N","N","N","N","N","N","N","N","M"," ","GRUVER ISD","098901","04","PK","PK - 04","E"
"098903101","PRINGLE-MORSE EL-J H"," ","N","N","N","N","N","N","N","N","M"," ","PRINGLE-MORSE CISD","098903","08","PK","PK - 08","E"
"098904001","SPEARMAN H S"," ","N","N","N","N","N","N","N","N","M"," ","SPEARMAN ISD","098904","12","09","09 - 12","S"
"098904041","SPEARMAN J H"," ","N","N","N","N","N","N","N","N","M"," ","SPEARMAN ISD","098904","08","06","06 - 08","M"
"098904101","GUS BIRDWELL EL"," ","N","N","N","N","N","N","N","N","M"," ","SPEARMAN ISD","098904","05","PK","PK - 05","E"
"099902001","CHILLICOTHE H S"," ","N","N","N","N","N","N","N","N","M"," ","CHILLICOTHE ISD","099902","12","07","07 - 12","S"
"099902101","CHILLICOTHE EL"," ","N","N","N","N","N","N","N","N","M"," ","CHILLICOTHE ISD","099902","06","PK","PK - 06","E"
"099903001","QUANAH H S"," ","N","N","N","N","N","N","N","N","M"," ","QUANAH ISD","099903","12","09","09 - 12","S"
