DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
JOURDANTON ISD,JOURDANTON EL,007902,007902101,20,False,M,72,60,Y,37,32,Y,38,28,Y,41,12,Y
LYTLE ISD,LYTLE H S,007904,007904001,20,False,M,62,60,Y,22,17,Y,33,30,Y,80,60,Y
LYTLE ISD,LYTLE DAEP,007904,007904002,20,False,X,,60,X,,17,X,,30,X,,,X
LYTLE ISD,JJAEP,007904,007904003,20,False,X,,60,X,,30,X,,26,X,,,X
LYTLE ISD,LYTLE J H,007904,007904041,20,False,M,58,60,N,32,30,Y,29,26,Y,26,13,Y
LYTLE ISD,LYTLE EL,007904,007904101,20,False,M,62,60,Y,40,32,Y,31,28,Y,26,12,Y
LYTLE ISD,LYTLE PRIMARY SCHOOL,007904,007904103,20,False,M,,,P,,,P,,,P,,,P
PLEASANTON ISD,PLEASANTON H S,007905,007905001,20,False,M,71,60,Y,22,17,Y,40,30,Y,80,60,Y
PLEASANTON ISD,PLEASANTON ISD SCHOOL OF CHOICE,007905,007905005,20,True,Z,,35,Z,,8,Z,,13,Z,100,45,Z
PLEASANTON ISD,PLEASANTON J H,007905,007905041,20,False,M,69,60,Y,40,30,Y,35,26,Y,40,13,Y
PLEASANTON ISD,PLEASANTON EL,007905,007905103,20,False,I,55,60,N,29,32,N,28,28,Y,26,12,Y
PLEASANTON ISD,PLEASANTON INT,007905,007905104,20,False,M,68,60,Y,36,30,Y,34,26,Y,30,13,Y
PLEASANTON ISD,PLEASANTON PRI,007905,007905105,20,False,I,,,P,,,P,,,P,,,P
POTEET ISD,POTEET H S,007906,007906001,20,False,M,66,60,Y,25,17,Y,34,30,Y,77,60,Y
POTEET ISD,ATASCOSA CO JUVENILE UNIT,007906,007906003,20,False,X,,60,X,,30,X,,26,X,,,X
POTEET ISD,POTEET J H,007906,007906041,20,False,M,67,60,Y,35,30,Y,35,26,Y,30,13,Y
POTEET ISD,POTEET EL,007906,007906101,20,False,M,68,60,Y,41,32,Y,40,28,Y,29,12,Y
POTEET ISD,POTEET INT,007906,007906102,20,False,M,63,60,Y,44,32,Y,35,28,Y,33,12,Y
BELLVILLE ISD,BELLVILLE H S,008901,008901001,6,False,M,77,60,Y,26,17,Y,41,30,Y,83,60,Y
BELLVILLE ISD,BELLVILLE J H,008901,008901041,6,False,M,77,60,Y,37,30,Y,37,26,Y,33,13,Y
BELLVILLE ISD,O'BRYANT PRI,008901,008901101,6,False,M,79,60,Y,38,32,Y,42,28,Y,44,12,Y
BELLVILLE ISD,O'BRYANT INT,008901,008901102,6,False,M,73,60,Y,40,32,Y,35,28,Y,31,12,Y
BELLVILLE ISD,WEST END EL,008901,008901105,6,False,M,83,60,Y,53,32,Y,42,28,Y,49,12,Y
SEALY ISD,SEALY H S,008902,008902001,6,False,M,74,60,Y,29,17,Y,40,30,Y,72,60,Y
SEALY ISD,SEALY J H,008902,008902041,6,False,M,72,60,Y,35,30,Y,34,26,Y,35,13,Y
SEALY ISD,SELMAN EL,008902,008902102,6,False,M,68,60,Y,36,32,Y,38,28,Y,29,12,Y
SEALY ISD,SELMAN INT,008902,008902103,6,False,M,70,60,Y,48,32,Y,34,28,Y,34,12,Y
BRAZOS ISD,BRAZOS H S,008903,008903001,6,False,M,79,60,Y,32,17,Y,47,30,Y,77,60,Y
BRAZOS ISD,BRAZOS MIDDLE,008903,008903041,6,False,M,82,60,Y,45,30,Y,45,26,Y,43,13,Y
BRAZOS ISD,BRAZOS EL,008903,008903102,6,False,M,70,60,Y,36,32,Y,35,28,Y,36,12,Y
BRAZOS ISD,PRAIRIE HARBOR ALTERNATIVE SCHOOL,008903,008903103,6,False,X,0,60,X,,17,X,,30,X,,,X
MULESHOE ISD,MULESHOE H S,009901,009901001,17,False,M,72,60,Y,32,17,Y,48,30,Y,83,60,Y
MULESHOE ISD,P E P,009901,009901002,17,True,Z,,35,Z,,8,Z,30,13,Z,100,45,Z
MULESHOE ISD,WATSON J H,009901,009901041,17,False,M,74,60,Y,36,30,Y,39,26,Y,33,13,Y
MULESHOE ISD,MARY DESHAZO EL,009901,009901101,17,False,M,66,60,Y,38,32,Y,35,28,Y,31,12,Y
MULESHOE ISD,DILLMAN EL,009901,009901103,17,False,M,,,P,,,P,,,P,,,P
MEDINA ISD,MEDINA SCHOOL,010901,010901001,20,False,M,71,60,Y,29,17,Y,35,30,Y,68,60,Y
BANDERA ISD,BANDERA H S,010902,010902001,20,False,M,79,60,Y,22,17,Y,44,30,Y,80,60,Y
BANDERA ISD,BANDERA MIDDLE,010902,010902041,20,False,M,73,60,Y,32,30,Y,38,26,Y,39,13,Y
BANDERA ISD,ALKEK EL,010902,010902101,20,False,M,76,60,Y,46,32,Y,39,28,Y,38,12,Y
BANDERA ISD,HILL COUNTRY EL,010902,010902102,20,False,M,69,60,Y,50,32,Y,40,28,Y,31,12,Y
BASTROP ISD,BASTROP H S,011901,011901001,13,False,M,71,60,Y,20,17,Y,38,30,Y,78,60,Y
BASTROP ISD,CEDAR CREEK H S,011901,011901002,13,False,M,67,60,Y,20,17,Y,40,30,Y,77,60,Y
BASTROP ISD,COLORADO RIVER COLLEGIATE ACADEMY,011901,011901005,13,False,M,96,60,Y,33,17,Y,60,30,Y,79,21,Y
