GEO.id,GEO.id2,GEO.display-label,HD01_S113,HD01_S114,HD01_S122,HD01_S123,HD01_S124,HD01_S125,HD01_S126,HD01_S127,HD01_S128,HD01_S129
Id,Id2,Geography,Number; Total population,Number; Total population - Hispanic or Latino,Number; Total population - Not Hispanic or Latino,Number; Total population - Not Hispanic or Latino - White alone,Number; Total population - Not Hispanic or Latino - Black or African American alone,Number; Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Number; Total population - Not Hispanic or Latino - Asian alone,Number; Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Number; Total population - Not Hispanic or Latino - Some Other Race alone,Number; Total population - Not Hispanic or Latino - Two or More Races
0500000US48405,48405,"San Augustine County, Texas",8865,532,8333,6183,2013,16,22,0,10,89
0500000US48407,48407,"San Jacinto County, Texas",26384,2880,23504,20204,2662,120,120,9,12,377
0500000US48409,48409,"San Patricio County, Texas",64804,35248,29556,27330,902,169,506,46,53,550
0500000US48411,48411,"San Saba County, Texas",6131,1715,4416,4135,194,28,13,0,1,45
0500000US48413,48413,"Schleicher County, Texas",3461,1536,1925,1872,32,1,4,0,0,16
0500000US48415,48415,"Scurry County, Texas",16921,6149,10772,9773,764,47,48,2,12,126
0500000US48417,48417,"Shackelford County, Texas",3378,340,3038,2961,14,8,9,1,2,43
0500000US48419,48419,"Shelby County, Texas",25448,4164,21284,16535,4414,61,76,0,17,181
0500000US48421,48421,"Sherman County, Texas",3034,1227,1807,1762,12,11,6,0,1,15
0500000US48423,48423,"Smith County, Texas",209714,36088,173626,130246,37195,734,2550,63,225,2613
0500000US48425,48425,"Somervell County, Texas",8490,1626,6864,6595,54,45,40,1,24,105
0500000US48427,48427,"Starr County, Texas",60968,58337,2631,2449,15,17,119,0,5,26
0500000US48429,48429,"Stephens County, Texas",9630,2011,7619,7289,195,43,31,1,0,60
0500000US48431,48431,"Sterling County, Texas",1143,365,778,733,13,13,0,0,2,17
0500000US48433,48433,"Stonewall County, Texas",1490,209,1281,1206,38,4,14,0,0,19
0500000US48435,48435,"Sutton County, Texas",4128,2459,1669,1639,6,2,5,0,7,10
0500000US48437,48437,"Swisher County, Texas",7854,3149,4705,4025,552,37,5,4,6,76
0500000US48439,48439,"Tarrant County, Texas",1809034,482977,1326057,937135,262522,7037,83378,2938,2491,30556
0500000US48441,48441,"Taylor County, Texas",131506,29074,102432,88121,9122,532,1978,105,133,2441
0500000US48443,48443,"Terrell County, Texas",984,467,517,495,6,7,4,0,0,5
0500000US48445,48445,"Terry County, Texas",12651,6211,6440,5747,565,28,23,0,5,72
0500000US48447,48447,"Throckmorton County, Texas",1641,152,1489,1453,9,11,7,0,0,9
0500000US48449,48449,"Titus County, Texas",32334,12799,19535,15904,3000,125,229,9,23,245
0500000US48451,48451,"Tom Green County, Texas",110224,39315,70909,63799,3997,406,1046,78,129,1454
0500000US48453,48453,"Travis County, Texas",1024266,342766,681500,517644,82805,2611,58404,540,1813,17683
0500000US48455,48455,"Trinity County, Texas",14585,1117,13468,11819,1377,57,36,0,13,166
0500000US48457,48457,"Tyler County, Texas",21766,1487,20279,17507,2376,104,49,6,19,218
0500000US48459,48459,"Upshur County, Texas",39309,2613,36696,32257,3388,206,146,3,35,661
0500000US48461,48461,"Upton County, Texas",3355,1644,1711,1611,49,28,0,0,4,19
0500000US48463,48463,"Uvalde County, Texas",26405,18299,8106,7666,110,62,116,6,35,111
0500000US48465,48465,"Val Verde County, Texas",48879,39199,9680,8548,563,86,207,37,29,210
0500000US48467,48467,"Van Zandt County, Texas",52579,4847,47732,45087,1403,371,168,32,15,656
0500000US48469,48469,"Victoria County, Texas",86793,38113,48680,41564,5190,199,860,16,109,742
0500000US48471,48471,"Walker County, Texas",67861,11389,56472,39671,15098,186,617,19,72,809
0500000US48473,48473,"Waller County, Texas",43205,12536,30669,19260,10537,141,213,9,54,455
0500000US48475,48475,"Ward County, Texas",10658,5074,5584,4922,474,48,31,0,9,100
0500000US48477,48477,"Washington County, Texas",33718,4641,29077,22394,5861,61,432,7,34,288
0500000US48479,48479,"Webb County, Texas",250304,239653,10651,8345,487,95,1320,11,130,263
0500000US48481,48481,"Wharton County, Texas",41280,15445,25835,19681,5668,62,154,2,26,242
0500000US48483,48483,"Wheeler County, Texas",5410,1344,4066,3847,112,20,23,0,3,61
0500000US48485,48485,"Wichita County, Texas",131500,21859,109641,90001,13322,1087,2586,85,109,2451
0500000US48487,48487,"Wilbarger County, Texas",13535,3508,10027,8585,1049,115,97,6,6,169
0500000US48489,48489,"Willacy County, Texas",22134,19297,2837,2235,389,22,134,1,9,47
0500000US48491,48491,"Williamson County, Texas",422679,98034,324645,269481,24744,1340,20084,354,661,7981
0500000US48493,48493,"Wilson County, Texas",42918,16412,26506,25186,644,125,143,9,25,374
0500000US48495,48495,"Winkler County, Texas",7110,3824,3286,3024,129,29,16,0,43,45
0500000US48497,48497,"Wise County, Texas",59127,10112,49015,47122,573,341,234,15,35,695
0500000US48499,48499,"Wood County, Texas",41964,3551,38413,35628,1951,198,156,12,8,460
0500000US48501,48501,"Yoakum County, Texas",7879,4622,3257,3090,55,30,26,1,5,50
0500000US48503,48503,"Young County, Texas",18550,3045,15505,14959,220,83,55,5,4,179
0500000US48505,48505,"Zapata County, Texas",14018,13084,934,861,11,16,28,0,6,12
0500000US48507,48507,"Zavala County, Texas",11677,10961,716,647,35,9,3,3,3,16
