CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,C_APPEAL_DECISION,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"008903041"," ","BRAZOS MIDDLE",90," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","A",.,"BRAZOS ISD","008903","08","06","06 - 08","M"
"008903102"," ","BRAZOS EL",68," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","D",.,"BRAZOS ISD","008903","05","EE","EE - 05","E"
"008903103"," ","PRAIRIE HARBOR ALTERNATIVE SCHOOL",.," ","N","N","N","N","N","N","N","Y","AUSTIN","008"," ","Not Rated",.,"BRAZOS ISD","008903","12","04","04 - 12","B"
"009901001"," ","MULESHOE H S",87," ","N","N","N","N","N","N","N","N","BAILEY","009"," ","B",.,"MULESHOE ISD","009901","12","09","09 - 12","S"
"009901002"," ","P E P",.,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","BAILEY","009"," ","Not Rated",.,"MULESHOE ISD","009901","12","09","09 - 12","S"
"009901041"," ","WATSON J H",77," ","N","N","N","N","N","N","N","N","BAILEY","009"," ","C",.,"MULESHOE ISD","009901","08","06","06 - 08","M"
"009901101"," ","MARY DESHAZO EL",55," ","N","N","N","N","N","N","N","N","BAILEY","009"," ","F",1,"MULESHOE ISD","009901","05","03","03 - 05","E"
"009901103"," ","DILLMAN EL",55," ","N","N","N","N","N","N","N","N","BAILEY","009"," ","F",1,"MULESHOE ISD","009901","02","EE","EE - 02","E"
"010901001"," ","MEDINA SCHOOL",81," ","N","N","N","N","N","N","N","N","BANDERA","010"," ","B",.,"MEDINA ISD","010901","12","PK","PK - 12","B"
"010902001"," ","BANDERA H S",81," ","N","N","N","N","N","N","N","N","BANDERA","010"," ","B",.,"BANDERA ISD","010902","12","09","09 - 12","S"
"010902041"," ","BANDERA MIDDLE",67," ","N","N","N","N","N","N","N","N","BANDERA","010"," ","D",.,"BANDERA ISD","010902","08","06","06 - 08","M"
"010902101"," ","ALKEK EL",74," ","N","N","N","N","N","N","N","N","BANDERA","010"," ","C",.,"BANDERA ISD","010902","05","EE","EE - 05","E"
"010902102"," ","HILL COUNTRY EL",79," ","N","N","N","N","N","N","N","N","BANDERA","010"," ","C",.,"BANDERA ISD","010902","05","PK","PK - 05","E"
"011901001"," ","BASTROP H S",80," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","B",.,"BASTROP ISD","011901","12","09","09 - 12","S"
"011901002"," ","CEDAR CREEK H S",81," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","B",.,"BASTROP ISD","011901","12","09","09 - 12","S"
"011901005"," ","COLORADO RIVER COLLEGIATE ACADEMY",98," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","A",.,"BASTROP ISD","011901","12","09","09 - 12","S"
"011901022"," ","GENESIS H S",71,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","BASTROP","011"," ","C",.,"BASTROP ISD","011901","12","09","09 - 12","S"
"011901041"," ","BASTROP MIDDLE",77," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","C",.,"BASTROP ISD","011901","08","07","07 - 08","M"
"011901101"," ","EMILE EL",62," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","D",.,"BASTROP ISD","011901","04","PK","PK - 04","E"
"011901102"," ","MINA EL",81," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","B",.,"BASTROP ISD","011901","04","EE","EE - 04","E"
"011901103"," ","CEDAR CREEK EL",71," ","N","N","N","N","N","N","N","N","BASTROP","011"," ","C",.,"BASTROP ISD","011901","04","EE","EE - 04","E"
