CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"014903118"," ","CHISHOLM TRAIL EL",86," ","N","N","N","N","N","N","N","N","BELL","014",123,18.1,679,765,.,0,500,65.4,119,15.6,94,12.3,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903119"," ","BELTON EARLY CHILDHOOD SCHOOL",83," ","N","N","N","N","Y","N","N","N","BELL","014",.,.,.,400,.,0,304,76,49,12.3,46,11.5,"Met Standard",.,"BELTON ISD","014903","PK","EE","EE - PK","E"
"014905001"," ","HOLLAND H S",82," ","N","N","N","N","N","N","N","N","BELL","014",14,5.9,238,214,0,0,76,35.5,1,0.5,11,5.1,"Met Standard",.,"HOLLAND ISD","014905","12","09","09 - 12","S"
"014905041"," ","HOLLAND MIDDLE",81," ","N","N","N","N","N","N","N","N","BELL","014",9,5.9,153,143,.,0,60,42,2,1.4,17,11.9,"Met Standard",.,"HOLLAND ISD","014905","08","06","06 - 08","M"
"014905101"," ","HOLLAND EL",86," ","N","N","N","N","N","N","N","N","BELL","014",28,10.8,260,311,.,0,172,55.3,9,2.9,17,5.5,"Met Standard",.,"HOLLAND ISD","014905","05","EE","EE - 05","E"
"014906001"," ","KILLEEN H S",76," ","N","N","N","N","N","N","N","N","BELL","014",771,28.6,2697,2361,7,0,1250,52.9,224,9.5,394,16.7,"Met Standard",.,"KILLEEN ISD","014906","12","09","09 - 12","S"
"014906002"," ","C E ELLISON H S",76," ","N","N","N","N","N","N","N","N","BELL","014",568,19.7,2880,2583,13,0,1008,39,156,6,351,13.6,"Met Standard",.,"KILLEEN ISD","014906","12","09","09 - 12","S"
"014906004"," ","GATEWAY H S",.," ","N","N","N","Y","N","N","N","N","BELL","014",365,99.2,368,84,0,0,42,50,7,8.3,22,26.2,"Not Rated",.,"KILLEEN ISD","014906","12","09","09 - 12","S"
"014906006"," ","PATHWAYS ACADEMIC CAMPUS",62,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","BELL","014",336,61.9,543,356,0,0,247,69.4,30,8.4,22,6.2,"Met Alternative Standard",.,"KILLEEN ISD","014906","12","09","09 - 12","S"
"014906007"," ","HARKER HEIGHTS H S",82," ","N","N","N","N","N","N","N","N","BELL","014",508,19,2678,2543,2,0,749,29.5,114,4.5,288,11.3,"Met Standard",.,"KILLEEN ISD","014906","12","09","09 - 12","S"
