County,School year,Exemption rate,Year
Concho,2010-2011,0,2011-06-01
Concho,2012-2013,0,2013-06-01
Concho,2015-2016,0,2016-06-01
Concho,2014-2015,0,2015-06-01
Concho,2011-2012,0,2012-06-01
Concho,2019-2020,0,2020-06-01
Cooke,2018-2019,3.31,2019-06-01
Cooke,2015-2016,1.14,2016-06-01
Cooke,2012-2013,0.97,2013-06-01
Cooke,2016-2017,3.08,2017-06-01
Cooke,2017-2018,1.34,2018-06-01
Cooke,2011-2012,0.77,2012-06-01
Cooke,2010-2011,0.9,2011-06-01
Cooke,2019-2020,1.69,2020-06-01
Cooke,2013-2014,0.54,2014-06-01
Cooke,2014-2015,1.52,2015-06-01
Coryell,2011-2012,0.71,2012-06-01
Coryell,2019-2020,2.3,2020-06-01
Coryell,2014-2015,4.23,2015-06-01
Coryell,2015-2016,1,2016-06-01
Coryell,2012-2013,0.45,2013-06-01
Coryell,2017-2018,1.66,2018-06-01
Coryell,2013-2014,3.26,2014-06-01
Coryell,2010-2011,0.48,2011-06-01
Coryell,2018-2019,2.71,2019-06-01
Coryell,2016-2017,1.38,2017-06-01
Cottle,2017-2018,0,2018-06-01
Cottle,2010-2011,0,2011-06-01
Cottle,2014-2015,0,2015-06-01
Cottle,2012-2013,0,2013-06-01
Cottle,2015-2016,0,2016-06-01
Cottle,2011-2012,0,2012-06-01
Cottle,2016-2017,0,2017-06-01
Cottle,2019-2020,0,2020-06-01
Cottle,2018-2019,0,2019-06-01
Crane,2010-2011,0,2011-06-01
Crane,2018-2019,0,2019-06-01
Crane,2019-2020,1.23,2020-06-01
Crane,2011-2012,0,2012-06-01
Crane,2012-2013,0,2013-06-01
Crane,2014-2015,1.19,2015-06-01
Crane,2013-2014,0,2014-06-01
Crane,2015-2016,0,2016-06-01
Crane,2016-2017,0,2017-06-01
Crane,2017-2018,0,2018-06-01
Crockett,2019-2020,0,2020-06-01
Crockett,2018-2019,1.78,2019-06-01
Crockett,2015-2016,0,2016-06-01
Crockett,2012-2013,0,2013-06-01
Crockett,2011-2012,1.61,2012-06-01
Crockett,2010-2011,0,2011-06-01
Crockett,2017-2018,0,2018-06-01
