County,School year,Exemption rate
Hale,2018-2019,1.44
Hale,2011-2012,0.49
Hale,2019-2020,1.38
Hale,2014-2015,1.16
Hale,2012-2013,0.15
Hale,2013-2014,0.17
Hale,2016-2017,1.18
Hale,2010-2011,0.3
Hall,2018-2019,0
Hall,2017-2018,0
Hall,2016-2017,0
Hall,2015-2016,0
Hall,2019-2020,2.27
Hall,2014-2015,0
Hall,2010-2011,0
Hall,2012-2013,0
Hall,2011-2012,0
Hall,2013-2014,0
Hamilton,2018-2019,4.54
Hamilton,2011-2012,0
Hamilton,2017-2018,2.83
Hamilton,2016-2017,0.98
Hamilton,2014-2015,0
Hamilton,2012-2013,6.06
Hamilton,2015-2016,1.05
Hamilton,2010-2011,3.52
Hamilton,2019-2020,0
Hamilton,2013-2014,2.8
Hansford,2010-2011,0.76
Hansford,2019-2020,1.94
Hansford,2018-2019,0
Hansford,2017-2018,4
