CAMPUS,CPETBILC,CPETBILP,CPETG9XC,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVHSC,CPETVHSP,CPETVOCC,CPETVOCP,CPNTBILC,CPNTBILP,CPNTG9XC,CPNTGIFC,CPNTGIFP,CPNTSPEC,CPNTSPEP,CPNTVHSC,CPNTVHSP
"205902001",19,1.4,1343,80,6,119,8.9,675,50.3,883,65.7,19,1.4,1343,80,6,119,8.9,675,50.3
"205902041",31,2.8,0,107,9.8,146,13.3,0,0,43,3.9,31,2.8,0,107,9.8,146,13.3,0,.
"205902101",22,4.5,0,17,3.5,66,13.5,0,0,0,0,22,4.5,0,17,3.5,68,13.9,0,.
"205902102",26,4.2,0,35,5.7,69,11.2,0,0,0,0,26,4.2,0,35,5.6,75,12,0,.
"205902103",21,4,0,37,7,42,8,0,0,0,0,21,4,0,37,7,48,9,0,.
"205902104",67,12.5,0,10,1.9,46,8.6,0,0,0,0,67,12.4,0,10,1.8,50,9.2,0,.
"205903001",24,3.8,638,20,3.1,51,8,491,77,587,92,24,3.8,639,20,3.1,52,8.1,492,77
"205903042",21,6.5,0,9,2.8,32,9.9,0,0,0,0,21,6.5,0,9,2.8,32,9.9,0,.
"205903102",55,14,0,3,0.8,39,9.9,0,0,0,0,55,14,0,3,0.8,39,9.9,0,.
"205903103",28,8.6,0,13,4,42,13,0,0,0,0,28,8.6,0,13,4,42,13,0,.
"205903104",62,13.6,0,8,1.8,60,13.2,0,0,0,0,62,13.6,0,8,1.8,60,13.2,0,.
"205904001",6,1.3,446,23,5.2,37,8.3,224,50.2,437,98,6,1.3,447,23,5.1,38,8.5,224,50.1
"205904041",3,0.8,0,18,4.6,60,15.5,0,0,0,0,3,0.8,0,18,4.6,60,15.5,0,.
"205904101",6,1.5,0,11,2.7,37,9.2,0,0,0,0,6,1.5,0,11,2.7,43,10.5,0,.
"205904102",12,3.4,0,12,3.4,29,8.2,0,0,0,0,12,3.4,0,12,3.4,29,8.2,0,.
"205905001",8,2.9,276,24,8.7,20,7.2,83,30.1,254,92,8,2.9,276,24,8.7,20,7.2,83,30.1
"205905041",5,2.6,0,17,9,16,8.5,0,0,9,4.8,5,2.6,0,17,9,16,8.5,0,.
"205905101",4,2.4,0,16,9.8,15,9.1,0,0,0,0,4,2.4,0,16,9.8,15,9.1,0,.
"205905103",10,4.6,0,6,2.8,19,8.8,0,0,0,0,10,4.5,0,6,2.7,26,11.6,0,.
"205906001",4,0.6,618,69,11.2,97,15.7,347,56.1,550,89,4,0.6,620,69,11.1,97,15.6,348,56.1
"205906002",0,0,7,0,0,5,31.3,0,0,0,0,0,0,7,0,0,5,31.3,0,0
"205906041",3,0.6,0,36,7.2,73,14.6,0,0,181,36.3,3,0.6,0,36,7.2,73,14.6,0,.
"205906103",10,1.8,0,11,1.9,57,10.1,0,0,0,0,10,1.7,0,11,1.9,70,12,0,.
"205906105",4,0.9,0,16,3.7,69,15.8,0,0,0,0,4,0.9,0,16,3.7,69,15.8,0,.
"205907001",5,1.9,263,14,5.3,25,9.5,191,72.6,231,87.8,5,1.9,263,14,5.3,25,9.5,191,72.6
"205907041",11,4.8,0,11,4.8,21,9.2,0,0,27,11.8,11,4.8,0,11,4.8,21,9.2,0,.
"205907101",7,1.4,0,18,3.7,70,14.2,0,0,0,0,7,1.4,0,18,3.6,73,14.7,0,.
"206901001",4,2,201,23,11.4,17,8.5,154,76.6,177,88.1,4,2,201,23,11.4,17,8.5,154,76.6
"206901041",43,19.1,0,30,13.3,31,13.8,0,0,13,5.8,43,19.1,0,30,13.3,31,13.8,0,.
"206901101",91,26.5,0,6,1.7,33,9.6,0,0,0,0,91,26.4,0,6,1.7,34,9.9,0,.
"206902001",1,0.8,48,3,2.5,23,19.5,27,56.3,51,43.2,1,0.8,48,3,2.5,23,19.5,27,56.3
"206903001",0,0,36,3,2.9,9,8.7,29,80.6,47,45.6,0,0,37,3,2.8,12,11.3,29,78.4
"207901001",13,8.7,149,13,8.7,12,8.1,145,97.3,148,99.3,13,8.7,149,13,8.7,12,8.1,145,97.3
"207901041",14,8.3,0,9,5.4,9,5.4,0,0,0,0,14,8.3,0,9,5.4,9,5.4,0,.
"207901101",26,13.8,0,9,4.8,11,5.9,0,0,0,0,26,13.8,0,9,4.8,11,5.9,0,.
"208901001",14,5.8,64,20,8.3,17,7,64,100,64,26.4,14,5.8,64,20,8.3,17,7,64,100
"208901003",0,0,1,0,0,0,0,1,100,1,100,0,0,1,0,0,0,0,1,100
"208902001",52,7.1,731,35,4.8,66,9,501,68.5,624,85.4,52,7.1,731,35,4.8,66,9,501,68.5
"208902041",67,11.5,0,46,7.9,52,8.9,0,0,329,56.2,67,11.5,0,46,7.9,52,8.9,0,.
"208902109",152,16.5,0,31,3.4,113,12.3,0,0,0,0,152,16.4,0,31,3.3,119,12.9,0,.
"208902110",45,10.5,0,26,6.1,43,10.1,0,0,0,0,45,10.5,0,26,6.1,43,10.1,0,.
"208903001",7,2.6,79,5,1.9,21,7.9,77,97.5,122,45.9,7,2.6,79,5,1.9,22,8.2,77,97.5
