CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,DISTNAME,DISTRICT
"014804007","NOLAN CREEK SCHOOL"," ","N","N","Y","N","N","N","N","N","ORENDA CHARTER SCHOOL","014804"
"014804008","KINGSLAND SCHOOL"," ","N","N","Y","N","N","N","N","N","ORENDA CHARTER SCHOOL","014804"
"014901001","ACADEMY H S"," ","N","N","N","N","N","N","N","N","ACADEMY ISD","014901"
"014901041","ACADEMY J H"," ","N","N","N","N","N","N","N","N","ACADEMY ISD","014901"
"014901101","ACADEMY INT"," ","N","N","N","N","N","N","N","N","ACADEMY ISD","014901"
"014901102","ACADEMY EL"," ","N","N","N","N","N","N","N","N","ACADEMY ISD","014901"
"014902001","BARTLETT SCHOOLS"," ","N","N","N","N","N","N","N","N","BARTLETT ISD","014902"
"014903001","BELTON H S"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903005","BELTON NEW TECH H S AT WASKOW"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903043","LAKE BELTON MIDDLE"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903044","SOUTH BELTON MIDDLE"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903045","NORTH BELTON MIDDLE"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903102","LEON HEIGHTS EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903103","MILLER HEIGHTS EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903104","SOUTHWEST EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903108","LAKEWOOD EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903109","SPARTA EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903111","JOE M PIRTLE EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903116","TARVER EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903117","HIGH POINT EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903118","CHISHOLM TRAIL EL"," ","N","N","N","N","N","N","N","N","BELTON ISD","014903"
"014903119","BELTON EARLY CHILDHOOD SCHOOL"," ","N","N","N","N","Y","N","N","N","BELTON ISD","014903"
"014905001","HOLLAND H S"," ","N","N","N","N","N","N","N","N","HOLLAND ISD","014905"
"014905041","HOLLAND MIDDLE"," ","N","N","N","N","N","N","N","N","HOLLAND ISD","014905"
"014905101","HOLLAND EL"," ","N","N","N","N","N","N","N","N","HOLLAND ISD","014905"
"014906001","KILLEEN H S"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906002","C E ELLISON H S"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906004","GATEWAY H S"," ","N","N","N","Y","N","N","N","N","KILLEEN ISD","014906"
"014906006","PATHWAYS ACADEMIC CAMPUS","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906007","HARKER HEIGHTS H S"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906008","ROBERT M SHOEMAKER H S"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906009","GATEWAY MIDDLE"," ","N","N","N","Y","N","N","N","N","KILLEEN ISD","014906"
"014906013","KILLEEN ISD EARLY COLLEGE H S"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906022","METROPLEX SCHOOL"," ","N","N","N","N","N","N","N","Y","KILLEEN ISD","014906"
"014906026","KILLEEN JJAEP"," ","N","N","N","N","N","Y","N","N","KILLEEN ISD","014906"
"014906042","NOLAN MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906043","RANCIER MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906044","MANOR MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906046","EASTERN HILLS MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906048","PALO ALTO MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906049","LIBERTY HILL MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906050","LIVE OAK RIDGE MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906051","UNION GROVE MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906052","AUDIE MURPHY MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
