CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"101920114",388,65,7,1.2,58,9.7,0,0
"101920115",48,6.7,101,14.1,52,7.2,0,0
"101920116",340,65.5,13,2.5,64,12.3,0,0
"101920117",377,66.8,7,1.2,65,11.5,0,0
"101920118",98,12,132,16.2,34,4.2,0,0
"101920119",330,73.2,24,5.3,33,7.3,0,0
"101920120",368,59.9,6,1,65,10.6,0,0
"101920121",87,17.6,48,9.7,53,10.7,0,0
"101920122",169,43.7,16,4.1,51,13.2,0,0
"101920123",140,32.6,13,3,36,8.4,0,0
"101920124",615,84.7,28,3.9,58,8,0,0
"101920125",374,75.1,1,0.2,56,11.2,0,0
"101920126",349,68.8,15,3,60,11.8,0,0
"101920128",110,29.6,0,0,38,10.2,0,0
"101920129",179,84.8,0,0,11,5.2,0,0
"101920130",238,73.9,0,0,8,2.5,0,0
"101920131",186,63.3,0,0,20,6.8,0,0
"101920132",219,63.5,0,0,21,6.1,0,0
"101921001",78,3.8,162,7.9,180,8.8,1421,69.2
"101921002",56,2.4,216,9.4,156,6.8,1863,80.6
"101921003",0,0,0,0,0,0,0,0
"101921005",5,2.1,26,11.1,9,3.8,105,44.7
"101921042",73,9.5,85,11.1,80,10.4,514,67
"101921043",49,3.6,195,14.4,81,6,873,64.5
"101921044",58,7.6,109,14.2,55,7.2,345,45
"101921102",113,16.1,29,4.1,75,10.7,0,0
"101921103",84,10,51,6.1,78,9.3,0,0
"101921105",124,16.3,59,7.8,89,11.7,0,0
"101921107",88,11.3,58,7.5,62,8,0,0
"101921108",150,19.4,23,3,66,8.5,0,0
"101921109",31,4.1,82,10.9,53,7,0,0
"101921110",93,20.8,48,10.7,64,14.3,0,0
"101921111",282,34.6,65,8,64,7.9,0,0
"101921112",60,11,107,19.6,25,4.6,0,0
"101921113",53,9.3,63,11.1,33,5.8,0,0
"101921114",100,9.6,70,6.8,64,6.2,0,0
"101921115",82,11.4,60,8.3,66,9.2,0,0
"101921116",82,11.8,95,13.7,45,6.5,0,0
"101924001",394,15.8,154,6.2,164,6.6,2111,84.8
"101924010",0,0,0,0,0,0,0,0
"101924012",11,15.7,4,5.7,12,17.1,30,42.9
"101924014",2,25,0,0,0,0,4,50
"101924041",308,29.4,68,6.5,85,8.1,113,10.8
"101924043",208,18.4,76,6.7,98,8.7,0,0
"101924102",404,62.4,49,7.6,51,7.9,0,0
"101924104",172,29.1,22,3.7,71,12,0,0
"101924107",336,53.2,0,0,30,4.7,0,0
"101924108",319,44.1,34,4.7,49,6.8,0,0
"101924109",442,52.2,68,8,65,7.7,0,0
"101924110",270,47.3,0,0,51,8.9,0,0
"101924111",250,39.6,27,4.3,63,10,0,0
"101925001",39,3.8,91,8.8,93,9,884,85.3
"101925004",0,0,0,0,0,0,0,0
"101925041",40,4.8,80,9.5,70,8.4,0,0
"101925103",33,3.6,36,4,91,10,0,0
"101925104",117,15.6,29,3.9,91,12.2,0,0
"102901103",9,7.1,7,5.6,7,5.6,0,0
"102902001",103,7.3,305,21.6,110,7.8,1309,92.8
"102902041",225,17.8,185,14.6,86,6.8,341,27
"102902103",177,25.6,26,3.8,43,6.2,0,0
"102902107",203,39,78,15,5,1,0,0
"102902108",189,30,25,4,50,7.9,0,0
"102902110",80,29,0,0,22,8,0,0
"102902116",51,9.5,14,2.6,47,8.8,0,0
"102903002",15,4.8,28,8.9,35,11.1,286,90.8
"102903041",18,8.4,17,7.9,20,9.3,55,25.6
"102903103",50,13.4,11,2.9,26,7,0,0
"102904002",23,1.6,114,7.8,121,8.3,1316,89.9
"102904010",111,2.5,2,0,522,11.8,1029,23.2
"102904041",43,3.5,107,8.8,121,10,272,22.4
"102904102",14,10.4,0,0,4,3,0,0
"102904104",44,5.8,73,9.7,67,8.9,0,0
"102904107",66,8.4,31,3.9,73,9.3,0,0
"102904108",24,3.5,31,4.5,58,8.5,0,0
"102905001",0,0,26,11.9,25,11.4,214,97.7
"102905041",2,1.1,24,13.4,25,14,0,0
"102905101",7,2.2,15,4.7,28,8.8,0,0
"102906001",2,0.7,19,6.8,43,15.5,263,94.6
"102906041",5,2.3,13,6,32,14.7,0,0
"102906101",4,1,17,4,51,12.1,0,0
"103901001",14,7.7,4,2.2,22,12.2,69,38.1
"103902001",56,25.1,16,7.2,11,4.9,65,29.1
"104901001",1,0.6,1,0.6,21,12.7,163,98.8
"104901041",5,4.6,5,4.6,20,18.5,34,31.5
"104901101",6,2,3,1,29,9.9,0,0
"104903001",6,4.9,7,5.7,15,12.3,42,34.4
"104907001",0,0,6,5.1,8,6.8,38,32.2
"105801001",0,0,0,0,23,13.8,98,58.7
"105802041",0,0,0,0,18,15,0,0
"105802101",0,0,0,0,11,10.2,0,0
"105803001",3,1.7,0,0,102,58,64,36.4
"105902001",116,5,174,7.5,304,13.2,1914,83
"105902041",108,10.4,128,12.4,153,14.8,150,14.5
"105902043",69,8.7,150,19,134,16.9,151,19.1
"105902101",90,16.6,67,12.4,40,7.4,0,0
"105902102",15,2.5,107,17.9,56,9.3,0,0
"105902103",111,19.6,73,12.9,40,7.1,0,0
"105902105",61,9.9,52,8.5,64,10.4,0,0
"105902107",85,13.6,61,9.8,98,15.7,0,0
"105902108",105,17.9,38,6.5,47,8,0,0
"105902109",72,17.2,0,0,33,7.9,0,0
"105904001",39,2,183,9.4,152,7.8,1560,80
"105904041",64,7.6,70,8.3,107,12.7,2,0.2
"105904042",10,1.2,101,12.5,68,8.4,2,0.2
"105904101",127,15.5,28,3.4,92,11.2,0,0
"105904102",28,3.8,27,3.7,105,14.3,0,0
"105904103",29,3.5,31,3.8,92,11.2,0,0
"105904104",8,0.9,36,4.1,83,9.6,0,0
"105905001",6,0.8,81,10.3,50,6.4,701,89.4
"105905041",26,4.4,61,10.3,51,8.6,99,16.8
"105905101",61,8.7,47,6.7,73,10.4,0,0
"105905102",49,11.8,2,0.5,43,10.3,0,0
"105906001",174,5.9,340,11.5,255,8.6,2319,78.3
"105906002",6,12.8,2,4.3,12,25.5,29,61.7
"105906004",16,8,10,5,14,7,47,23.5
"105906005",239,9.1,226,8.6,306,11.6,2038,77.4
"105906041",33,4.6,93,13,76,10.6,0,0
"105906043",6,0.8,110,14,67,8.5,0,0
"105906044",77,9.6,68,8.5,104,13,0,0
"105906045",103,13.7,44,5.8,91,12.1,0,0
"105906046",253,33.4,43,5.7,105,13.9,0,0
"105906047",213,23.7,66,7.3,97,10.8,0,0
"105906101",38,6,34,5.4,95,15,0,0
"105906103",222,29.5,19,2.5,85,11.3,0,0
"105906106",26,4.3,12,2,106,17.6,0,0
"105906107",11,1.3,54,6.2,89,10.2,0,0
"105906108",47,7.5,16,2.6,109,17.4,0,0
"105906109",27,9.9,2,0.7,39,14.2,0,0
"105906110",23,3.8,25,4.1,108,17.7,0,0
"105906111",12,1.5,59,7.3,116,14.4,0,0
"105906112",259,45.9,16,2.8,43,7.6,0,0
"105906113",292,46.6,25,4,43,6.9,0,0
"105906114",464,60.8,14,1.8,98,12.8,0,0
"105906115",9,1.4,43,6.8,71,11.2,0,0
"105906116",36,5.1,38,5.4,71,10.1,0,0
"105906118",622,74.1,4,0.5,111,13.2,0,0
"106901001",14,5.2,15,5.6,16,6,226,84.6
"106901041",33,14.9,20,9,16,7.2,54,24.4
"106901101",27,13.3,8,3.9,25,12.3,0,0
"106901103",37,17.2,2,0.9,13,6,0,0
"107901001",116,12.9,46,5.1,76,8.5,883,98.2
"107901041",145,22.1,21,3.2,65,9.9,0,0
"107901102",158,32.2,12,2.4,61,12.4,0,0
"107901103",143,29.1,9,1.8,45,9.2,0,0
"107901104",143,30.9,11,2.4,60,13,0,0
"107902001",16,2.1,49,6.3,85,10.9,708,90.9
"107902041",14,3.4,38,9.2,52,12.6,0,0
"107902101",29,6.2,4,0.9,71,15.3,0,0
"107902102",16,5.6,15,5.3,39,13.7,0,0
"107902103",23,5.2,14,3.2,49,11,0,0
"107902104",28,8.2,28,8.2,53,15.5,0,0
"107904001",0,0,0,0,17,11.4,149,100
"107904041",5,3.3,11,7.3,17,11.3,0,0
"107904101",10,3.9,6,2.3,29,11.2,0,0
"107905001",1,0.2,23,5.3,50,11.6,336,78.1
"107905101",8,1.8,5,1.1,53,11.9,0,0
"107905102",7,2,18,5.2,64,18.4,0,0
"107905103",7,2,16,4.7,62,18,0,0
"107906001",2,0.5,14,3.6,37,9.6,385,99.5
"107906002",0,0,0,0,1,100,1,100
"107906003",0,0,0,0,2,40,4,80
"107906041",11,3.4,11,3.4,32,10,0,0
"107906102",38,8.2,18,3.9,68,14.8,0,0
"107906104",11,5.2,7,3.3,14,6.6,0,0
"107907001",6,3.3,5,2.8,15,8.3,59,32.6
"107908101",13,7.2,12,6.7,28,15.6,0,0
"107910001",2,1.8,3,2.8,9,8.3,109,100
"107910041",2,1.6,4,3.1,13,10.1,0,0
"107910101",2,0.9,9,3.9,16,6.9,0,0
"108802101",308,51.5,8,1.3,26,4.3,0,0
"108802102",86,25.1,24,7,17,5,0,0
"108802103",65,17,20,5.2,18,4.7,0,0
"108804001",27,22.3,0,0,10,8.3,49,40.5
"108804002",38,33.9,0,0,10,8.9,59,52.7
"108804003",17,13.8,0,0,14,11.4,55,44.7
"108804004",6,33.3,0,0,4,22.2,4,22.2
