CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"007901101","CHARLOTTE EL","N","N","CHARLOTTE ISD","007901","PK - 05","E"
"007902001","JOURDANTON H S","N","N","JOURDANTON ISD","007902","09 - 12","S"
"007902005","ATASCOSA COUNTY JUVENILE JUSTICE C","Y","N","JOURDANTON ISD","007902","07 - 11","S"
"007902006","JOURDANTON DAEP","N","N","JOURDANTON ISD","007902","06 - 10","B"
"007902041","JOURDANTON J H","N","N","JOURDANTON ISD","007902","06 - 08","M"
"007902101","JOURDANTON EL","N","N","JOURDANTON ISD","007902","EE - 05","E"
"007904001","LYTLE H S","N","N","LYTLE ISD","007904","09 - 12","S"
"007904002","LYTLE DAEP","N","N","LYTLE ISD","007904","04 - 09","B"
"007904003","JJAEP","N","N","LYTLE ISD","007904","08 - 08","M"
"007904041","LYTLE J H","N","N","LYTLE ISD","007904","06 - 08","M"
"007904101","LYTLE EL","N","N","LYTLE ISD","007904","02 - 05","E"
"007904103","LYTLE PRIMARY SCHOOL","N","N","LYTLE ISD","007904","EE - 01","E"
"007905001","PLEASANTON H S","N","N","PLEASANTON ISD","007905","09 - 12","S"
"007905004","ATASCOSA CO ALTER","N","N","PLEASANTON ISD","007905","08 - 09","M"
"007905005","PLEASANTON ISD SCHOOL OF CHOICE","Y","N","PLEASANTON ISD","007905","10 - 12","S"
"007905041","PLEASANTON J H","N","N","PLEASANTON ISD","007905","06 - 08","M"
"007905103","PLEASANTON EL","N","N","PLEASANTON ISD","007905","02 - 05","E"
"007905105","PLEASANTON PRI","N","N","PLEASANTON ISD","007905","EE - 01","E"
"007906001","POTEET H S","N","N","POTEET ISD","007906","09 - 12","S"
"007906041","POTEET J H","N","N","POTEET ISD","007906","06 - 08","M"
"007906101","POTEET EL","N","N","POTEET ISD","007906","EE - 03","E"
"007906102","POTEET INT","N","N","POTEET ISD","007906","04 - 05","E"
"008901001","BELLVILLE H S","N","N","BELLVILLE ISD","008901","09 - 12","S"
"008901041","BELLVILLE J H","N","N","BELLVILLE ISD","008901","06 - 08","M"
"008901101","O'BRYANT PRI","N","N","BELLVILLE ISD","008901","EE - 03","E"
"008901102","O'BRYANT INT","N","N","BELLVILLE ISD","008901","04 - 05","E"
"008901105","WEST END EL","N","N","BELLVILLE ISD","008901","KG - 05","E"
"008902001","SEALY H S","N","N","SEALY ISD","008902","09 - 12","S"
"008902041","SEALY J H","N","N","SEALY ISD","008902","06 - 08","M"
