CAMPUS,CPETSAUC,CPETSAUP,CPETSBHC,CPETSBHP,CPETSIMC,CPETSINC,CPETSINP,CPETSNOC,CPETSNOP,CPETSPHC,CPETSPHP
"008901102",-1,-1,9,24.3,37,19,51.4,0,0,-3,-3
"008901105",-1,-1,0,0,9,-1,-1,0,0,5,55.6
"008902001",8,11.4,17,24.3,70,40,57.1,0,0,5,7.1
"008902041",10,12.7,23,29.1,79,40,50.6,0,0,6,7.6
"008902102",9,12.2,-3,-3,74,25,33.8,-1,-1,31,41.9
"008902104",-1,-1,7,15.6,45,11,24.4,-1,-1,22,48.9
"008903001",-1,-1,-1,-1,16,9,56.3,0,0,0,0
"008903041",-1,-1,-1,-1,15,10,66.7,0,0,-1,-1
"008903102",-1,-1,9,24.3,37,13,35.1,-1,-1,13,35.1
"008903103",0,0,19,79.2,24,5,20.8,0,0,0,0
"009901001",0,0,5,9.8,51,46,90.2,0,0,0,0
"009901002",0,0,0,0,-1,-1,-1,0,0,0,0
"009901041",-1,-1,-1,-1,47,42,89.4,0,0,0,0
"009901101",-1,-1,-3,-3,46,32,69.6,0,0,7,15.2
"009901103",-1,-1,-1,-1,46,13,28.3,16,34.8,14,30.4
"010901001",-1,-1,8,21.6,37,15,40.5,-1,-1,10,27
"010902001",-3,-3,23,31.5,73,42,57.5,0,0,-1,-1
"010902041",-3,-3,19,27.1,70,43,61.4,0,0,-1,-1
"010902101",-1,-1,-3,-3,73,18,24.7,8,11,37,50.7
"010902102",-3,-3,13,20.6,63,23,36.5,-1,-1,21,33.3
"011901001",15,10.1,34,22.8,149,94,63.1,0,0,6,4
"011901002",-3,-3,31,19.9,156,106,67.9,0,0,-1,-1
"011901005",-1,-1,0,0,-1,-1,-1,0,0,0,0
"011901022",0,0,-3,-3,15,9,60,0,0,-1,-1
"011901041",-1,-1,18,19.4,93,65,69.9,0,0,-3,-3
"011901101",11,15.5,9,12.7,71,14,19.7,0,0,37,52.1
"011901102",12,12.2,13,13.3,98,10,10.2,7,7.1,56,57.1
"011901103",-1,-1,10,14.5,69,22,31.9,-1,-1,31,44.9
"011901104",8,8.1,23,23.2,99,49,49.5,0,0,19,19.2
"011901106",-1,-1,21,21,100,74,74,0,0,-1,-1
"011901107",-1,-1,-1,-1,74,15,20.3,0,0,51,68.9
"011901108",11,8.8,19,15.2,125,83,66.4,0,0,12,9.6
"011901109",7,9.7,-3,-3,72,24,33.3,-1,-1,35,48.6
"011901110",10,13.5,12,16.2,74,13,17.6,0,0,39,52.7
"011902001",12,9.4,23,18.1,127,87,68.5,0,0,5,3.9
"011902003",0,0,0,0,0,0,0,0,0,0,0
"011902004",0,0,0,0,7,7,100,0,0,0,0
"011902041",11,9.5,24,20.7,116,72,62.1,0,0,9,7.8
"011902101",-1,-1,11,19,58,10,17.2,-1,-1,32,55.2
