DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"068901",5505,17.1,3196,9.9,2707,8.4,6890,21.4
"069901",18,5.8,11,3.5,34,10.9,83,26.7
"069902",4,1.5,5,1.8,25,9.1,79,28.8
"070801",1409,55.5,80,3.2,133,5.2,428,16.9
"070901",15,3.8,13,3.3,55,13.8,110,27.6
"070903",728,12.6,452,7.8,598,10.3,1707,29.4
"070905",677,25,98,3.6,271,10,864,31.9
"070907",48,7.6,21,3.3,86,13.7,189,30.1
"070908",321,3.6,574,6.5,874,9.9,1908,21.6
"070909",32,11.7,7,2.6,40,14.7,49,17.9
"070910",106,8.7,39,3.2,175,14.4,307,25.3
"070911",533,9.2,465,8,647,11.2,2164,37.4
"070912",802,9.4,347,4.1,1003,11.8,2925,34.4
"070915",70,5.9,26,2.2,103,8.7,376,31.7
"071801",205,24.7,0,0,44,5.3,0,0
"071803",48,22.1,0,0,14,6.5,68,31.3
"071804",28,6.2,0,0,40,8.8,146,32.2
"071806",587,17,279,8.1,319,9.2,714,20.6
"071807",217,87.1,0,0,6,2.4,0,0
"071809",69,20.5,0,0,14,4.2,0,0
"071810",41,21.4,6,3.1,19,9.9,60,31.3
"071901",3473,30.3,462,4,895,7.8,3214,28
"071902",18602,32,7294,12.5,6206,10.7,16014,27.5
"071903",800,35,151,6.6,256,11.2,553,24.2
"071904",1666,43.9,194,5.1,382,10.1,1120,29.5
"071905",9902,24,3034,7.4,4964,12.1,12928,31.4
"071906",159,19,55,6.6,81,9.7,246,29.5
"071907",2036,32.8,601,9.7,574,9.3,1730,27.9
"071908",390,35.1,49,4.4,70,6.3,322,29
"071909",10513,22.7,2348,5.1,4360,9.4,17188,37
"072801",1121,15.5,0,0,817,11.3,1056,14.6
"072802",9,7.8,0,0,15,13,64,55.7
"072901",30,21.1,0,0,4,2.8,20,14.1
"072902",229,19.2,112,9.4,84,7.1,306,25.7
"072903",346,9.5,221,6,286,7.8,974,26.6
"072904",1,0.5,17,9,11,5.8,35,18.5
"072908",2,0.9,5,2.1,8,3.4,61,26
"072909",52,19,13,4.7,19,6.9,68,24.8
"072910",1,0.8,14,11.3,9,7.3,0,0
"073901",88,17.4,35,6.9,64,12.7,172,34.1
"073903",128,15.3,58,6.9,86,10.3,145,17.4
"073904",1,0.6,5,3.2,15,9.6,0,0
"073905",20,3.1,42,6.6,97,15.3,202,31.8
"074903",226,12.1,77,4.1,242,13,454,24.3
"074904",12,3.2,9,2.4,29,7.8,117,31.4
"074905",1,0.4,4,1.8,36,15.8,88,38.6
"074907",44,7.1,52,8.4,77,12.4,204,32.9
"074909",45,4.9,67,7.3,91,9.9,329,35.8
"074911",0,0,31,9.8,30,9.5,87,27.4
"074912",23,4,47,8.3,59,10.4,183,32.2
"074917",21,3.9,17,3.1,56,10.3,160,29.5
"075901",39,6.9,60,10.6,54,9.6,154,27.3
"075902",250,12.6,161,8.1,175,8.8,373,18.9
"075903",65,8.6,58,7.7,90,12,240,31.9
"075906",14,5.4,21,8.2,18,7,97,37.7
"075908",23,8.6,5,1.9,22,8.3,110,41.4
"076903",8,2.6,13,4.3,21,7,139,46
"076904",9,3.5,10,3.9,23,8.9,81,31.4
"077901",65,8.6,34,4.5,68,9,140,18.4
"077902",24,5.2,11,2.4,42,9.2,129,28.1
"078901",2,0.9,7,3.3,36,16.8,81,37.9
"079901",4096,12.8,2630,8.2,2805,8.8,8510,26.6
"079906",285,8.8,76,2.4,327,10.1,1075,33.4
"079907",11253,15,5475,7.3,5751,7.7,17974,24
"079910",604,16.8,163,4.5,288,8,1036,28.7
"080901",208,12.8,93,5.7,161,9.9,461,28.4
"081902",110,6.1,65,3.6,116,6.4,482,26.5
"081904",81,6.6,108,8.8,129,10.5,455,37
"081905",13,2.5,35,6.9,37,7.3,179,35.1
"081906",5,3.2,3,1.9,13,8.4,12,7.7
"082902",30,3.1,76,7.8,116,11.8,229,23.4
"082903",126,5.5,124,5.4,228,10,840,36.9
"083901",127,23.6,34,6.3,37,6.9,186,34.5
"083902",10,6.5,0,0,8,5.2,54,34.8
"083903",399,13.8,133,4.6,228,7.9,955,33
"084802",234,20.3,55,4.8,104,9,194,16.9
"084804",0,0,32,10.8,10,3.4,0,0
"084901",1371,12.6,544,5,1146,10.5,2255,20.7
"084902",1172,16.7,386,5.5,542,7.7,2294,32.8
"084903",0,0,3,2.1,13,9.2,39,27.5
"084906",693,7.9,270,3.1,855,9.7,2506,28.5
"084908",87,5.3,82,5,192,11.7,214,13
"084909",150,3.1,245,5.1,492,10.3,1164,24.4
"084910",4733,11.3,4464,10.6,4161,9.9,12880,30.7
"084911",123,2,563,9.3,616,10.2,2212,36.6
"085902",61,7,27,3.1,89,10.2,284,32.7
"085903",0,0,1,0.8,10,7.6,50,37.9
"086024",0,0,0,0,1,4,0,0
"086901",389,12.2,220,6.9,309,9.7,758,23.8
"086902",5,0.8,34,5.8,47,8,237,40.1
"087901",27,8.7,14,4.5,21,6.7,138,44.2
"088902",22,1.7,103,7.8,136,10.4,420,32
"089901",608,21.4,200,7,323,11.4,735,25.9
"089903",180,16.7,82,7.6,148,13.7,273,25.3
"089905",86,26.8,12,3.7,27,8.4,86,26.8
"090902",3,2,5,3.3,18,11.8,71,46.4
"090903",4,1.6,0,0,25,10,80,31.9
"090904",565,15.8,263,7.4,423,11.8,988,27.7
"090905",0,0,0,0,2,4.1,0,0
"091901",7,0.9,63,7.7,84,10.2,247,30.1
"091902",28,5.1,43,7.9,35,6.4,159,29.1
"091903",308,6.6,157,3.4,643,13.8,1161,25
"091905",63,5.4,44,3.8,126,10.8,343,29.5
"091906",1638,22,753,10.1,860,11.5,1774,23.8
"091907",40,6.6,57,9.5,34,5.6,146,24.2
"091908",31,1.9,110,6.9,140,8.8,499,31.2
"091909",59,3.7,72,4.6,162,10.3,495,31.3
"091910",30,3.5,63,7.4,52,6.1,322,37.8
"091913",14,1,72,5,130,9.1,378,26.3
"091914",31,3.4,32,3.5,89,9.7,258,28.1
"091917",71,7.7,74,8,56,6.1,263,28.5
"091918",20,3,17,2.6,74,11.1,201,30.2
"092801",0,0,0,0,13,9.3,92,65.7
"092901",114,6.4,129,7.2,214,12,438,24.6
"092902",790,19.4,160,3.9,309,7.6,1185,29.1
"092903",1579,18.5,416,4.9,630,7.4,1923,22.5
"092904",608,13,255,5.5,398,8.5,1190,25.5
"092906",119,8.1,120,8.2,122,8.3,480,32.7
"092907",102,5.2,91,4.6,150,7.7,472,24.1
"092908",15,1,121,8,145,9.6,382,25.3
"093901",36,4.2,50,5.8,67,7.8,295,34.3
"093903",6,1.2,26,5.2,37,7.4,172,34.3
"093904",562,18.4,75,2.5,260,8.5,868,28.5
"093905",0,0,0,0,11,6.7,56,34.4
"094901",710,9.5,533,7.2,770,10.3,1568,21.1
"094902",739,4.7,851,5.4,1453,9.3,4236,27.1
"094903",69,3.6,142,7.4,146,7.7,581,30.5
"094904",45,3.1,109,7.4,135,9.2,467,31.8
"095901",11,1.4,86,11.2,61,8,220,28.7
"095902",2,1.7,3,2.6,8,6.8,51,43.6
"095903",47,7.7,9,1.5,46,7.6,171,28.2
"095904",39,14.3,20,7.3,37,13.6,83,30.4
"095905",362,6.6,441,8,525,9.5,1579,28.7
"096904",70,13.9,39,7.8,65,12.9,132,26.2
"096905",12,6,10,5,16,8,90,44.8
"097902",43,5.1,59,7,88,10.4,254,30
"097903",49,8.3,12,2,55,9.3,160,27.1
"098901",80,18.7,39,9.1,27,6.3,156,36.4
"098903",23,18.1,0,0,9,7.1,0,0
"098904",197,22.5,46,5.2,52,5.9,233,26.6
"099902",41,18.7,18,8.2,21,9.6,93,42.5
"099903",11,2.1,28,5.3,67,12.6,153,28.8
"100903",32,2.8,107,9.3,99,8.6,433,37.6
"100904",38,1.3,129,4.4,372,12.7,962,32.9
"100905",92,4.1,123,5.5,193,8.6,802,35.9
"100907",76,1.9,205,5.2,330,8.3,1061,26.7
"100908",1,0.2,51,9.1,45,8,194,34.5
"101802",994,89.8,0,0,53,4.8,0,0
"101803",30,3.5,0,0,61,7.1,5,0.6
"101804",453,49.5,0,0,79,8.6,464,50.7
"101806",652,50.6,79,6.1,77,6,301,23.4
"101807",1,0.8,0,0,15,11.8,0,0
"101810",432,60.4,0,0,7,1,0,0
"101811",30,6.3,0,0,60,12.6,0,0
"101813",5131,35.6,0,0,909,6.3,1505,10.5
"101814",684,46.4,0,0,61,4.1,0,0
"101815",231,81.1,0,0,21,7.4,0,0
"101819",430,83.8,0,0,40,7.8,0,0
"101821",0,0,10,5,32,16,117,58.5
"101828",1062,46.9,0,0,67,3,108,4.8
"101837",10,3.2,0,0,20,6.4,146,46.9
"101838",1106,54.6,0,0,161,8,279,13.8
"101840",29,5.4,40,7.5,11,2.1,0,0
"101842",17,22.7,0,0,4,5.3,33,44
"101845",2005,18.4,0,0,661,6.1,2305,21.2
"101846",867,25.2,262,7.6,238,6.9,835,24.3
"101847",0,0,0,0,31,7,31,7
"101849",84,31.2,0,0,7,2.6,0,0
