CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"015905044",179,27.7,58,9,71,11,157,24.3
"015905046",152,20.5,42,5.7,100,13.5,180,24.3
"015905104",144,28.7,19,3.8,41,8.2,0,0
"015905106",87,18.4,9,1.9,27,5.7,0,0
"015905108",88,18.1,9,1.9,32,6.6,0,0
"015905109",116,22.5,1,0.2,39,7.6,0,0
"015905110",106,23.3,27,5.9,53,11.6,0,0
"015905112",193,27.7,24,3.4,51,7.3,0,0
"015905113",114,22.9,11,2.2,38,7.6,0,0
"015905114",117,23.8,24,4.9,38,7.7,0,0
"015905116",88,20.3,15,3.5,47,10.9,0,0
"015905117",90,21.3,8,1.9,39,9.2,0,0
"015905118",93,25.7,0,0,32,8.8,0,0
"015905125",87,16.6,0,0,51,9.8,0,0
"015905126",2,50,0,0,0,0,0,0
"015906001",0,0,42,9.1,27,5.8,305,66
"015906041",1,0.3,60,18,23,6.9,0,0
"015906101",4,0.6,52,8,60,9.2,0,0
"015907001",185,10.8,158,9.2,173,10.1,1279,74.5
"015907002",148,11.8,128,10.2,148,11.8,1090,87
"015907003",241,15,108,6.7,192,11.9,1459,90.7
"015907004",14,3.6,54,14.1,18,4.7,381,99.2
"015907005",181,10,88,4.9,249,13.8,1542,85.3
"015907006",99,8.7,54,4.8,173,15.3,1057,93.4
"015907007",191,11,91,5.2,252,14.5,1528,87.9
"015907008",255,15.1,86,5.1,228,13.5,1585,93.6
"015907010",6,5.7,2,1.9,15,14.2,19,17.9
"015907020",0,0,0,0,1,50,0,0
"015907022",2,0.5,94,24.2,0,0,126,32.4
"015907023",0,0,191,41.2,0,0,84,18.1
"015907024",13,4.1,1,0.3,15,4.7,96,30.2
"015907025",16,6.5,43,17.3,8,3.2,161,64.9
"015907026",41,5.7,193,27,26,3.6,15,2.1
"015907027",1,0.7,10,6.8,16,10.9,140,95.2
"015907043",56,7.8,27,3.8,113,15.7,144,20.1
"015907047",147,19.9,74,10,105,14.2,77,10.4
"015907049",110,25.6,19,4.4,57,13.3,139,32.4
"015907050",105,12.3,52,6.1,143,16.7,267,31.3
"015907051",48,11.8,27,6.6,68,16.7,131,32.2
"015907053",27,10.9,10,4,38,15.3,0,0
"015907054",100,19.9,44,8.8,59,11.8,141,28.1
"015907055",80,11.7,75,10.9,75,10.9,0,0
"015907057",52,10.5,29,5.9,71,14.4,113,22.9
"015907058",10,7.8,5,3.9,16,12.5,65,50.8
"015907059",160,19.4,74,9,119,14.4,178,21.6
